attack_type,dataset,iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy
random,CiteSeer,1,0.0,0.0,0.0,0.0,0.0,0.692,0.238
random,CiteSeer,2,0.14028838276863098,0.396019846200943,20.0,0.1419122964143753,469767.90625,0.692,0.238
random,CiteSeer,3,0.31636521220207214,0.568671464920044,48.0,0.219012051820755,564443.4375,0.694,0.238
random,CiteSeer,4,0.34130463004112244,0.5975866317749023,54.0,0.23236261308193207,608203.4375,0.694,0.238
random,CiteSeer,5,0.4405880868434906,1.0478531122207642,74.0,0.2723769545555115,849176.1875,0.694,0.237
random,CiteSeer,6,0.5413877964019775,1.7509039640426636,102.0,0.31944867968559265,1189041.875,0.694,0.237
random,CiteSeer,7,0.5540623068809509,1.8070836067199707,110.0,0.3317764401435852,1313073.0,0.693,0.237
random,CiteSeer,8,0.5476147532463074,1.7845852375030518,112.0,0.3347919285297394,1323793.875,0.693,0.237
random,CiteSeer,9,0.6131877899169922,1.8817729949951172,134.0,0.3663804829120636,1475413.125,0.693,0.236
random,CiteSeer,10,0.6945947408676147,2.284097194671631,154.0,0.3926604688167572,1655860.75,0.694,0.236
random,CiteSeer,11,0.7373819947242737,2.394732713699341,166.0,0.4077259600162506,1830341.25,0.694,0.236
random,CiteSeer,12,0.7209019064903259,2.2868173122406006,174.0,0.41746246814727783,1861064.5,0.694,0.236
random,CiteSeer,13,0.7315928339958191,2.1944785118103027,184.0,0.4293431043624878,1889880.125,0.694,0.238
random,CiteSeer,14,0.7610647082328796,2.174882650375366,186.0,0.43167057633399963,1892754.125,0.694,0.238
random,CiteSeer,15,0.742854654788971,2.406769275665283,190.0,0.43640583753585815,1904170.375,0.694,0.237
random,CiteSeer,16,0.7500718832015991,2.359936475753784,196.0,0.4432721734046936,1915123.25,0.694,0.237
random,CiteSeer,17,0.7583044171333313,2.365020513534546,200.0,0.4477725327014923,1936350.125,0.694,0.237
random,CiteSeer,18,0.8407905101776123,2.937037706375122,228.0,0.4783496558666229,2260723.5,0.694,0.238
random,CiteSeer,19,0.8875277638435364,3.0688953399658203,244.0,0.49491119384765625,2306509.5,0.694,0.238
random,CiteSeer,20,0.9827433824539185,3.300183057785034,268.0,0.5186720490455627,2483198.5,0.693,0.238
random,CiteSeer,21,0.9786006212234497,3.282782793045044,270.0,0.5206061005592346,2490307.5,0.692,0.238
random,CiteSeer,22,0.9787729978561401,3.368911027908325,290.0,0.5395907163619995,2682183.0,0.692,0.237
random,CiteSeer,23,1.0756361484527588,3.7908923625946045,314.0,0.5615829229354858,2796692.0,0.692,0.238
random,CiteSeer,24,1.064328670501709,3.770775556564331,324.0,0.5704502463340759,2872095.0,0.692,0.238
random,CiteSeer,25,1.0675206184387207,3.7862534523010254,332.0,0.5774736404418945,2894866.0,0.692,0.238
random,CiteSeer,26,1.0713087320327759,3.772390604019165,340.0,0.5844005942344666,2932224.0,0.692,0.238
random,CiteSeer,27,1.1292451620101929,3.898284435272217,360.0,0.6013640761375427,3180158.5,0.692,0.24
random,CiteSeer,28,1.144407033920288,3.955606698989868,368.0,0.6080172657966614,3295233.0,0.691,0.24
random,CiteSeer,29,1.1749966144561768,4.033886432647705,376.0,0.6146001815795898,3331446.5,0.691,0.24
random,CiteSeer,30,1.1716855764389038,3.934912919998169,396.0,0.6306877136230469,3362793.0,0.69,0.24
random,CiteSeer,31,1.1775915622711182,3.9454526901245117,400.0,0.6338715553283691,3363325.5,0.69,0.24
random,CiteSeer,32,1.2296675443649292,4.319977283477783,420.0,0.6496754288673401,3414524.0,0.689,0.24
random,CiteSeer,33,1.2287830114364624,4.349354267120361,426.0,0.6543014049530029,3419932.25,0.689,0.24
random,CiteSeer,34,1.2895796298980713,4.457427978515625,442.0,0.666497528553009,3508002.0,0.689,0.24
random,CiteSeer,35,1.3131623268127441,4.528090000152588,450.0,0.6725021004676819,3530652.5,0.689,0.24
random,CiteSeer,36,1.3708724975585938,4.819799900054932,470.0,0.6873544454574585,3655674.0,0.689,0.24
random,CiteSeer,37,1.3835240602493286,4.8141093254089355,474.0,0.6902667880058289,3667767.5,0.688,0.24
random,CiteSeer,38,1.4220399856567383,4.865775108337402,488.0,0.7004097104072571,3804822.0,0.688,0.24
random,CiteSeer,39,1.4236907958984375,4.781268119812012,500.0,0.7089729905128479,3885595.5,0.688,0.24
random,CiteSeer,40,1.433470368385315,4.78138542175293,500.0,0.7089773416519165,3897179.0,0.688,0.24
random,CiteSeer,41,1.422672986984253,4.734965801239014,524.0,0.7258138060569763,3965094.25,0.688,0.211
random,CiteSeer,42,1.4448943138122559,4.644947052001953,548.0,0.7422532439231873,4012395.25,0.688,0.211
