attack_type,dataset,iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy
fg_random,Cora,1,0.0,0.0,0.0,0.0,0.0,0.809,0.264
fg_random,Cora,2,0.304948091506958,2.8894705772399902,8.0,0.09524906426668167,12034.349609375,0.809,0.264
fg_random,Cora,3,0.500957190990448,3.14091157913208,22.0,0.1534629613161087,26069.587890625,0.808,0.261
fg_random,Cora,4,0.6081416606903076,4.24621057510376,26.0,0.16809965670108795,30751.66796875,0.808,0.261
fg_random,Cora,5,0.6081416606903076,4.24621057510376,26.0,0.16809965670108795,30751.66796875,0.808,0.261
fg_random,Cora,6,0.8427640199661255,4.835342884063721,42.0,0.2112719714641571,65290.30859375,0.807,0.26
fg_random,Cora,7,0.9486499428749084,5.069717884063721,58.0,0.24672812223434448,100549.484375,0.807,0.259
fg_random,Cora,8,1.0182199478149414,5.243370532989502,72.0,0.2739145755767822,117850.1640625,0.807,0.262
fg_random,Cora,9,1.158327341079712,6.9600629806518555,80.0,0.2897225618362427,190140.234375,0.807,0.262
fg_random,Cora,10,1.27801513671875,8.553179740905762,84.0,0.29781094193458557,288498.1875,0.807,0.262
fg_random,Cora,11,1.27801513671875,8.553179740905762,84.0,0.29781094193458557,288498.1875,0.807,0.262
fg_random,Cora,12,1.328051209449768,9.24841022491455,88.0,0.30496764183044434,291174.71875,0.806,0.262
fg_random,Cora,13,1.4571328163146973,10.863759994506836,92.0,0.3126213252544403,316753.46875,0.806,0.262
fg_random,Cora,14,1.6663193702697754,13.389772415161133,100.0,0.32683950662612915,329944.40625,0.806,0.262
fg_random,Cora,15,1.679531455039978,13.397237777709961,104.0,0.33293259143829346,339893.34375,0.805,0.262
fg_random,Cora,16,1.837458848953247,13.25855827331543,118.0,0.35397928953170776,345985.1875,0.805,0.262
fg_random,Cora,17,1.9791109561920166,13.473546981811523,142.0,0.3867664337158203,385737.28125,0.805,0.259
fg_random,Cora,18,1.9791109561920166,13.473546981811523,142.0,0.3867664337158203,385737.28125,0.805,0.259
fg_random,Cora,19,2.0237693786621094,13.618768692016602,146.0,0.3920368254184723,395561.4375,0.804,0.259
fg_random,Cora,20,2.2794013023376465,16.213668823242188,162.0,0.4134329855442047,409655.4375,0.804,0.259
