iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy,dataset,attack_type
1,-0.4001504866487503,-0.4964676690236296,-0.30266456417454357,0.37120815842353627,0.06929284919948864,0.9125203907887399,0.8579509728072756,PubMed,fg_betweenness
2,0.007397255848521467,-0.6332534042516097,-0.010060878430677933,0.340098562476438,0.23424616946423404,0.91138269592471,0.8555488866186113,PubMed,fg_betweenness
3,-0.3043743126489262,-0.4177356875170074,0.5061379638262251,0.44695303130076036,0.19265320954816778,0.9097826229159778,0.850200788942708,PubMed,fg_betweenness
4,0.17705184378495276,-0.4697619673239958,0.19177410048434362,0.4957510524114751,0.11077992090674005,0.8993044094908784,0.8503801222310478,PubMed,fg_betweenness
5,0.24603866821094933,-0.6682223230852715,0.4474305458289287,0.7105767190651352,0.5496350569751154,0.8882361360998653,0.8433463210918967,PubMed,fg_betweenness
6,0.016882370453734197,-0.4287929622007747,0.4157110791199419,0.8167247288356416,0.42781557902553524,0.8899798988204726,0.8323710195954769,PubMed,fg_betweenness
7,0.6807782892305885,-0.4932834721137134,0.3762009768239476,1.4409267465025297,1.077536730117185,0.8786988295545269,0.8351879740007476,PubMed,fg_betweenness
8,0.992319845378339,-0.3636152055369237,0.30072092536235506,1.4122329001968494,1.1339666781009683,0.8781691217273762,0.8267757885501752,PubMed,fg_betweenness
9,1.3456533410457974,-0.3570550684646332,0.7244312355486668,1.1502168141212572,1.5966667034679394,0.8628119028514604,0.8238211359288636,PubMed,fg_betweenness
10,1.5448405737967992,-0.4458248867613672,1.0545065063777457,1.791392982995756,1.738973172984668,0.8560127278824676,0.8058043578907369,PubMed,fg_betweenness
11,1.4475721173046985,0.07383752308915215,1.124560558663762,1.6928163108795586,2.0330016237642714,0.8611991345964146,0.8086462741383376,PubMed,fg_betweenness
12,1.207417435664563,0.04915412879357217,1.2256847373414206,1.7431115905398058,2.037696291000209,0.8502648228413596,0.7995143426256593,PubMed,fg_betweenness
13,1.8202888967927877,-0.13818581716949696,1.5137839762462777,2.154339271498552,1.9977148229750812,0.8397059251755323,0.7930238002886284,PubMed,fg_betweenness
14,1.576541646078763,-0.29284227613325475,1.643221614233609,2.3182625465185915,2.229136122124594,0.8398656398467924,0.7976461299946855,PubMed,fg_betweenness
15,1.9530682943625468,0.13969863025792817,1.433312823468629,2.2631024251638534,2.245608093940546,0.8470192835063035,0.7857454768714148,PubMed,fg_betweenness
16,1.7658607376353899,0.4024000387425821,1.6645299687371953,2.5689438012492816,2.6090021778116412,0.829177427693993,0.7846160944977605,PubMed,fg_betweenness
17,1.5572231388553264,0.681971757015444,1.3946153731457462,2.8078838302294855,3.2150193954617268,0.8363465397274793,0.7835861592547868,PubMed,fg_betweenness
18,1.2468923483217411,1.000929452785674,1.5700174675592253,3.0027916139292192,3.2807428137819596,0.8335554351529924,0.7738526908812521,PubMed,fg_betweenness
19,1.7279568701456007,0.8630258457660522,2.194256496131735,2.7902410991268023,3.503434314871383,0.8141156535606406,0.7671181189403193,PubMed,fg_betweenness
20,1.6155198063104108,0.6830676370804167,2.6786859525513793,3.3406490934946222,3.930016179765401,0.8117708379526245,0.7552091145846248,PubMed,fg_betweenness
21,1.3746521735543697,0.9060832125122498,2.6524889546826462,3.50289325872454,4.136337730583397,0.8050046644295502,0.7620004748103656,PubMed,fg_betweenness
22,2.005490461286159,0.7184438778757802,2.9928744128321796,3.3103244402701204,3.822564457321751,0.7975176150222784,0.7572298056296168,PubMed,fg_betweenness
23,2.243945565597933,1.1865680467643833,3.1989927780265415,3.612430048702204,3.990566213970266,0.8079154233449165,0.7386613001602633,PubMed,fg_betweenness
24,2.4734474014435435,1.8439176146526521,3.6650426809250725,3.3638908718287404,4.063781564711142,0.7945235529754411,0.7461644518095647,PubMed,fg_betweenness
25,2.2465575183786086,2.430580719228998,3.8116116167807665,3.194740079640641,4.284306664893924,0.7856559219949097,0.7393436593770596,PubMed,fg_betweenness
26,2.1338410350955885,2.4127269786035015,3.6625976846425257,3.047092133926945,4.793480241744764,0.776931725989911,0.7335629062848787,PubMed,fg_betweenness
27,2.600305462145,2.2075012956315723,4.053718214098036,2.829794889719386,5.110912756646629,0.7721651190084403,0.7209155601468511,PubMed,fg_betweenness
28,3.0665654903189563,2.58967270136929,4.243383745482773,3.2449886508289643,5.527004902217293,0.7713936297079345,0.7178368150716316,PubMed,fg_betweenness
29,3.5179367620704896,2.4769006249790726,4.015553149677866,3.2337302460411603,5.590373016973915,0.7681272023025439,0.7202345575775989,PubMed,fg_betweenness
30,3.9693450856808306,2.8080358057596193,4.317589593009765,3.3710625941347345,5.8901992953103814,0.7592472967169652,0.7098762066157444,PubMed,fg_betweenness
31,3.741877382003372,2.761856046230139,4.6919161738960025,3.1654797917192607,6.018999388265097,0.7568605511407285,0.7163109604959211,PubMed,fg_betweenness
32,4.386044796878692,2.9013614262466545,5.120649521228874,3.697514714259049,5.988228299093531,0.7583404475792346,0.6980970919957135,PubMed,fg_betweenness
33,5.025891180266607,3.4765694435710115,5.752199042790406,3.964457418865785,5.794345596766987,0.7503840320487117,0.6974820909660374,PubMed,fg_betweenness
34,5.177681583115628,3.3831685116262733,5.702061143519342,3.749041923042162,5.862712001389249,0.7414867454303452,0.6831964238929448,PubMed,fg_betweenness
35,4.9446478704109955,3.2375522325144193,5.9707916442602285,3.5244127205479647,6.058415343173901,0.7425129201713502,0.6884712401115757,PubMed,fg_betweenness
36,4.866401206132323,2.976437838319626,6.152305875153671,4.150019891439092,6.074961674934482,0.7365442855446951,0.6848018259793445,PubMed,fg_betweenness
37,5.433432688724413,2.958693910013454,6.415245335976891,4.264725754283565,6.259950527563796,0.7300027616893043,0.6797699837461888,PubMed,fg_betweenness
38,5.8930691106467386,2.7691253202469333,6.2167319661907205,4.573098303949515,5.957899046053518,0.7191549307511202,0.6786989738053142,PubMed,fg_betweenness
39,6.543907659860355,2.5798643407333084,6.272147648613278,4.613040510592352,5.665678473993892,0.7231213425977927,0.6591679331975494,PubMed,fg_betweenness
40,7.134607170499055,2.71848493319927,6.039615268718977,4.322780846492234,6.327813463251605,0.719995822999678,0.6569862814536633,PubMed,fg_betweenness
41,7.069721838417046,2.8038387629960755,5.842696036727867,4.217275503123586,6.569241159318815,0.7016792043575522,0.6609690475136846,PubMed,fg_betweenness
42,7.527792069794465,3.2343684031265116,6.106815262412527,4.4625273204637725,6.929550315317318,0.694196951244037,0.6614613854541915,PubMed,fg_betweenness
43,7.522957671018748,3.4059783373785217,6.024736118347517,4.488533459794009,6.909249949715313,0.6987089530423645,0.6519106773542254,PubMed,fg_betweenness
44,7.633732435598157,3.5984431611858883,5.941176983290664,4.191505506636584,6.714097042650841,0.6897102322808526,0.6423073935702448,PubMed,fg_betweenness
45,7.954210796604592,3.6108475165881404,6.504541111663513,4.298005143770549,7.151492628139421,0.6862689855821188,0.6412938916800688,PubMed,fg_betweenness
46,8.33708080366704,3.4823043224943504,6.527068100136894,4.3503377281278395,6.846393210133534,0.6852453796458532,0.6305282773082826,PubMed,fg_betweenness
47,8.912434625124343,4.133819620419743,6.943912086132674,4.214225666503032,7.489281514208388,0.674884264566614,0.6192438115073734,PubMed,fg_betweenness
48,9.318254353491527,3.8516762843658787,7.420398978128172,4.734365283766733,8.10185501319179,0.6721732347996605,0.6191476996917157,PubMed,fg_betweenness
