iteration,adj_spectral_distance,laplacian_spectral_distance,edit_distance,deltacon_distance,resistance_distance,gcn_accuracy,label_propagation_accuracy,dataset,attack_type
1,-0.13984200661253143,0.4812772162105067,0.11887886612785503,-0.3460216117656547,-0.1921273267934427,0.914705100013728,0.8632389057086947,PubMed,fg_random
2,0.3177019561673805,0.6028816083651322,0.2048852121928385,-0.06906873215532683,-0.44411349868804295,0.9080453431847969,0.8469946193794562,PubMed,fg_random
3,0.10113133147123377,0.4670578198440666,0.8046197073107505,-0.3729045666722477,-0.37588264815570094,0.9083702812609804,0.8419421458834314,PubMed,fg_random
4,0.3296776750925049,0.7785931036104444,0.5853296655090139,-0.12133333129854118,0.0649279651123933,0.9031774839131662,0.8401043052781847,PubMed,fg_random
5,0.41284494675270667,1.2698764955880226,0.9706180601043889,-0.1619635486454175,-0.2370834269583274,0.8988812470473335,0.8495084464352549,PubMed,fg_random
6,0.701165072940434,1.6982771845378197,0.8259524621981411,-0.4150005652704032,-0.0889855522375057,0.8831692151737126,0.8255088622812307,PubMed,fg_random
7,0.6996000301023519,2.181450257577975,1.1734748320616193,0.09267338844420525,0.4943612767021254,0.8798756470356935,0.8277998366481809,PubMed,fg_random
8,0.956767231436929,2.1965252138241596,0.9164183468714062,0.18556566484072823,0.3006955908862319,0.8647007381496513,0.8260804796594835,PubMed,fg_random
9,1.3805488540565145,2.452563028788527,1.0265399693082484,-0.10122962905065824,0.18855850470767788,0.8784923098791252,0.8265963271541811,PubMed,fg_random
10,1.4101649760834105,2.4267664584526054,1.1502943614460637,0.3499179151359244,-0.06646705762370853,0.8623720334303222,0.8096740417114506,PubMed,fg_random
11,2.0651685246520257,2.5580556908452046,1.354221883661543,0.11888119191592095,0.31009210088872585,0.8532901782204275,0.8084844199784312,PubMed,fg_random
12,2.3684498486511423,2.274032909653564,2.004440067048424,0.7147357693360217,0.40472094409150516,0.8475759046896316,0.8117205936513108,PubMed,fg_random
13,2.7485345048771777,2.424988232276024,2.492192774940316,0.6515172175766442,0.17403398924277758,0.84520259743434,0.7905800778046962,PubMed,fg_random
14,3.2636727952791564,2.681214610323822,2.2899212714995834,1.0030474082690244,-0.13862111454944293,0.8356608646088407,0.7940921201042002,PubMed,fg_random
15,3.7946354789409957,2.664057938986933,2.7312473032512585,1.2153367104035375,-0.01797122842629495,0.8356571400177937,0.7934648553863772,PubMed,fg_random
16,3.8991354266598526,2.957958249513971,3.3654849858247124,1.8136439525145551,0.486994060168668,0.8355389567632315,0.7896016108183056,PubMed,fg_random
17,4.552226856851758,3.4875149664880927,3.6743341115568104,2.297679474966573,0.5779835492188425,0.8222377380192925,0.7763806478085122,PubMed,fg_random
18,4.581130584847886,3.4441263013395167,3.7151288262919815,2.7589801636575206,0.47910069043361325,0.8221896825999369,0.7687088443362237,PubMed,fg_random
19,5.198391971819353,3.533601263997655,3.8529351083190475,2.8332459521112425,0.28030849599063945,0.8094109895531737,0.7619218795884234,PubMed,fg_random
20,5.837138359045728,4.16788804749619,4.140607512377223,2.5778120554741806,0.0065375965651433,0.8117213327760403,0.7625250337838887,PubMed,fg_random
21,5.634120490354379,4.008549432630034,3.9454135969491935,2.3517461708559075,-0.18705117622135115,0.8097599098293033,0.7576299666044881,PubMed,fg_random
22,5.3715317101576625,4.102103625072265,3.66742369617928,2.065966661852009,0.29795098975782475,0.80170208394662,0.7437456488059417,PubMed,fg_random
23,5.833879597540498,4.117110374576514,3.728397741649923,2.36789575318463,0.6687771674315179,0.7935988626136427,0.749575931186322,PubMed,fg_random
24,5.538978565869742,3.9088836447928235,3.937074784438377,2.6513927001674134,1.2965023352874905,0.7978306637380788,0.737701007283514,PubMed,fg_random
25,5.98077944243171,4.144632019922719,4.2762451877933305,3.3159022274735834,1.3492271634972055,0.7875476176414964,0.7465912033140716,PubMed,fg_random
26,6.234685160846393,3.8346076150806665,4.0558194934592855,3.0563700854916185,1.2560916464150726,0.7742751031625337,0.7398404425568174,PubMed,fg_random
27,6.0972100302281955,3.776703535149259,4.236218580741923,3.391485162867098,1.4302546384720993,0.7852358717270141,0.7376701927334535,PubMed,fg_random
28,6.606122317855439,4.439890029247243,4.233662769327212,3.199699180056536,1.751930287309312,0.7742984944664896,0.7133931194707366,PubMed,fg_random
29,6.844546218514067,4.220378743989936,4.571723087913987,3.1957313353747376,2.2498325697933272,0.76854827251508,0.7214910369183507,PubMed,fg_random
30,7.383667993549757,4.152965960492779,4.349342826454547,3.1901771134873775,2.870545849229132,0.7583184985119239,0.7188561097551425,PubMed,fg_random
31,7.856563534341498,4.230206571332555,4.686877232470046,2.9263477067099934,3.361625158266878,0.7556469234807578,0.6978945486384059,PubMed,fg_random
32,7.781126823152013,3.9345823653025294,5.250097911723302,3.197541365690692,3.871832242788741,0.7612624539701891,0.6993474901837715,PubMed,fg_random
33,8.297225580219585,3.9303086565006815,5.839435490699081,2.9282359406366214,4.358041237388349,0.7492030224632993,0.7047932320438614,PubMed,fg_random
34,8.097089626822202,4.493550598666268,6.3589534590057735,3.014799675788553,4.689239325975665,0.7348969337378033,0.686064840627621,PubMed,fg_random
35,8.255576342912406,4.830005591258228,6.7707368449566285,3.0549496490904096,5.164191673850715,0.7395743725136201,0.677229084994,PubMed,fg_random
36,8.722280758800142,5.263323485436059,6.45716301961078,3.3871924879410544,5.4802561129928495,0.7369344420062565,0.68692839390249,PubMed,fg_random
37,9.176339056972964,5.192734699754613,6.596851209402963,3.407495889165622,5.552615483955344,0.7204287860617455,0.6735799863068086,PubMed,fg_random
38,9.608905722026954,4.991332891667886,6.719673897678797,3.1729111058823922,6.08532308612872,0.7278086397814727,0.6623098220776574,PubMed,fg_random
39,9.388916323744988,5.349710818215212,6.4796130901944,3.3400660350930926,5.783701107334535,0.7114124858969351,0.6639124241920908,PubMed,fg_random
40,9.181857192221223,5.304060784813379,6.190599255755162,3.5447128712655425,5.51850395948915,0.709742563584807,0.6584081709859565,PubMed,fg_random
41,9.755122984244725,5.852317241533415,6.817952123002042,3.228717492286664,6.072799330842574,0.6974415119797837,0.6610044630511108,PubMed,fg_random
42,9.837009021450534,5.896990668361298,6.702797738602135,3.7217529105706157,6.334175554781083,0.6956242043132699,0.6442854088632474,PubMed,fg_random
43,9.633998021319657,5.853589302995143,7.152053536235112,3.445435778392502,6.509226323816312,0.7015996051991016,0.6451487429867999,PubMed,fg_random
44,9.525301871546345,6.416154807029957,7.090609620970847,3.858171936928649,6.782284754983724,0.7005557619919428,0.6459253184607029,PubMed,fg_random
45,10.18891065118667,6.8468245391138645,6.975213897108293,4.1237361148083576,7.292482752535674,0.6962364720520765,0.6430872792126392,PubMed,fg_random
46,10.451509244324283,6.60930735189897,7.191352835792271,4.52219286929029,7.23248393294947,0.6778394614168765,0.6284389149878363,PubMed,fg_random
47,10.616626541999608,7.2758609700587416,7.499982358776342,5.0410160342454,7.403770031129859,0.6809657104394091,0.6273669487218245,PubMed,fg_random
48,10.663784599258193,7.658890528731875,7.71316275718705,5.473478356530618,7.6718107378650355,0.6612615156682998,0.6191853282048021,PubMed,fg_random
49,11.265264195331113,7.4729748086781385,7.935944869218855,5.477801898439946,7.92740207396915,0.6585769100156026,0.6175409918896845,PubMed,fg_random
50,11.534233674885986,8.031993682640628,8.592117156216704,5.413601032659723,8.497163558519468,0.6599160487577528,0.6101112988902629,PubMed,fg_random
51,11.346227475830087,8.247283001907263,9.040334203169692,5.214823486404837,8.898536919142433,0.6547603814095483,0.6118322559360164,PubMed,fg_random
52,11.342276734695124,7.979165402874012,8.761928956823276,5.732333724021499,8.88612673759492,0.6485259717568879,0.6029536868153712,PubMed,fg_random
53,11.466651844949556,7.95742351448337,8.82624917611285,5.794515052087178,9.550196971462421,0.6419275435095771,0.5981631235597231,PubMed,fg_random
54,11.744990325386272,8.40905756587647,8.94966352591899,6.192570039610382,9.36710998780515,0.6487447242241663,0.5953883010080594,PubMed,fg_random
55,11.84972672990443,8.295645542740248,8.834127888596127,6.553446605969838,9.233018414679288,0.6387693311952165,0.5795434272099925,PubMed,fg_random
56,12.425979261321835,8.779004656264016,9.330244930904648,6.534407226128552,9.629728264434275,0.6261214871583034,0.5728817894864903,PubMed,fg_random
57,12.893524325921321,9.044355124333368,9.757410437106243,7.155722785592008,9.851428760661612,0.6249301417381241,0.5851585095075925,PubMed,fg_random
58,13.532752866192144,9.088687434583267,10.084579123817718,7.108902550695781,10.419905681477752,0.6231906555929945,0.5691096399350167,PubMed,fg_random
59,13.49247008303389,8.828873797339588,10.048721427104713,6.949646206810722,10.395165505466393,0.6078585645877053,0.5566421023818683,PubMed,fg_random
60,13.897861292956474,8.629370257966022,10.490576828368493,7.6063739519871145,10.814926637899447,0.6136237320942607,0.5501608395246775,PubMed,fg_random
